PMID;First Author;Publication Date;Title;Abstract;DOI;classification;species;country;statistics;optimization;strategies;notes;human;pred;TRUE
18477540;Savill NJ;2008 Dec 6;Detection of mortality clusters associated with highly pathogenic avian influenza in poultry: a theoretical analysis.;Rapid detection of infectious disease outbreaks is often crucial for their effective control. One example is highly pathogenic avian influenza (HPAI) such as H5N1 in commercial poultry flocks. There are no quantitative data, however, on how quickly the effects of HPAI infection in poultry flocks can be detected. Here, we study, using an individual-based mathematical model, time to detection in chicken flocks. Detection is triggered when mortality, food or water intake or egg production in layers pass recommended thresholds suggested from the experience of past HPAI outbreaks. We suggest a new threshold for caged flocks--the cage mortality detection threshold--as a more sensitive threshold than current ones. Time to detection is shown to depend nonlinearly on R0 and is particularly sensitive for R0<10. It also depends logarithmically on flock size and number of birds per cage. We also examine how many false alarms occur in uninfected flocks when we vary detection thresholds owing to background mortality. The false alarm rate is shown to be sensitive to detection thresholds, dependent on flock size and background mortality and independent of the length of the production cycle. We suggest that current detection thresholds appear sufficient to rapidly detect the effects of a high R0 HPAI strain such as H7N7 over a wide range of flock sizes. Time to detection of the effects of a low R0 HPAI strain such as H5N1 can be significantly improved, particularly for large flocks, by lowering detection thresholds, and this can be accomplished without causing excessive false alarms in uninfected flocks. The results are discussed in terms of optimizing the design of disease surveillance programmes in general.;10.1098/rsif.2008.0133;included;poultry;unknown;deterministic modelling;optimization;risk-based monitoring;meets inclusion criteria;1;1;1
40303821;Palencia P;2023;Not Just Pictures: Utility of Camera Trapping in the Context of African Swine Fever and Wild Boar Management.;African swine fever (ASF) is a highly contagious disease affecting all suids and wild boar (Sus scrofa). Since 2007, ASF has spread to more than 30 countries in Europe and Asian regions, and the most recent outbreak has been in mainland Italy (reported on January 2022). When the genotype II of the ASF virus infects a population, a mortality rate close to 90% is usually reported. This drop in wild boar abundance produces a cascade effect in the entire ecosystem. In this context, effective monitoring tools for deriving management parameters are a priority aspect, and the utility of camera trapping could have been overlooked. Here, sampling the infected area in north Italy, we showed the utility of camera traps in the context of ASF infection. Specifically, we used 43 camera traps randomly distributed to (i) estimate movement parameters and population density of wild boar, roe deer (Capreolus capreolus), and wolf (Canis lupus). (ii) quantify wild boar recruitment. and (iii) assess whether the human restriction rules are being met. On the first spring after the outbreak detection, our results for wild boar indicated a density of 0.27 ind·km(-2) ± 0.11 (standard error, SE), a daily activity level of 0.49 ± 0.07 (i.e., 11.76 h·day(-1)), a daily distance travelled of 9.07 ± 1.80 km·day(-1), a litter size of 1.72 piglets·group(-1), and a 72% of pregnant females. Despite human outdoor activities being restricted in the infected zone, we recorded human presence in 19 camera traps. The wide range of parameters estimated from the camera trap data, together with some intrinsic and practical advantages of this tool, allows us to conclude that camera traps are well positioned to be a reference approach to monitor populations affected by ASF. The population-specific parameters are of prime importance for optimizing ASF control efforts.;10.1155/2023/7820538;included;wild boar;sus scrofa;roe deer;capreolus capreolus;wolf;canis lupus;0;1;0
40303815;Wielgus E;2023;First-Passage Time Analysis Based on GPS Data Offers a New Approach to Estimate Restricted Zones for the Management of Infectious Diseases in Wildlife: A Case Study Using the Example of African Swine Fever.;An essential part of any disease containment and eradication policy is the implementation of restricted zones, but determining the appropriate size of these zones can be challenging for managers. We designed a new method, based on animal movement, to help assess how large restricted zones should be after a spontaneous outbreak to successfully control infectious diseases in wildlife. Our approach uses first-passage time (FPT) analysis and Cox proportional hazard (CPH) models to calculate and compare the risk of an animal leaving different-sized areas. We illustrate our approach using the example of the African swine fever (ASF) virus and its wild pig reservoir host species, the wild boar (Sus scrofa), and we investigate the feasibility of applying this method to other systems. Using GPS data from 57 wild boar living in the Hainich National Park, Germany, we calculate the time spent by each individual in areas of different sizes using FPT analysis. We apply CPH models on the derived data to compare the risk of leaving areas of different sizes and to assess the effects of season and the sex of the wild boar on the risk of leaving. We conduct survival analyses to estimate the risk of leaving an area over time. Our results indicate that the risk of leaving an area decreases exponentially by 10% for each 100 m increase in radius size so that the differences were more pronounced for small sizes. Furthermore, the probability of leaving increases exponentially with time. Wild boar had a similar risk of leaving an area of a given size throughout the year, except in spring and winter, when females had a much lower risk of leaving. Our findings are in agreement with the literature on wild boar movement, further validating our method, and repeated analyses with location data resampled at different rates gave similar results. Our results may be applicable only to our study area, but they demonstrate the applicability of the proposed method to any ecosystem where wild boar populations are likely to be infected with ASF and where restricted zones should be established accordingly. The outlined approach relies solely on the analysis of movement data and provides a useful tool to determine the optimal size of restricted zones. It can also be applied to future outbreaks of other diseases.;10.1155/2023/4024083;included;wild boar;germany;first-passage time analysis;cox proportional hazard models;risk-based monitoring;meets inclusion criteria;1;1;1
39772734;Lambert S;2025 Jan;Optimizing contact tracing for avian influenza in poultry flocks.;Contact tracing is commonly used to manage infectious diseases of both humans and animals. It aims to detect early and control potentially infected individuals or farms that had contact with infectious cases. Because it is very resource-intensive, contact tracing is usually performed on a pre-defined time window, based on previous knowledge of the duration of the incubation period. However, pre-defined time windows may not be always relevant, reducing the efficiency of contact tracing. In this study, we estimated the day when farms were first infected with highly pathogenic avian influenza viruses, a devastating pathogen causing severe socio-economic damage in domestic poultry. The estimation was performed by fitting a stochastic mechanistic model to observed daily mortality data from 63 infected poultry farms in France and The Netherlands, using approximate Bayesian computation. Independent of the poultry species or country, the estimates of the time of first infection ranged between 3.4 (95% credible interval-CrI: 2.6, 4.6) and 19.9 (95% CrI: 11.9, 31.3) days prior to the last observation. We developed an online application to provide real-time support to policymakers by estimating realistic ranges of dates of first infection to inform contact tracing and improve its efficiency.;10.1098/rsif.2024.0523;included;poultry;france;the netherlands;stochastic modelling;approximate bayesian computation;mechanistic model;0;1;0
33340089;Yang A;2021 Apr;Effects of social structure and management on risk of disease establishment in wild pigs.;Contact heterogeneity among hosts determines invasion and spreading dynamics of infectious disease, thus its characterization is essential for identifying effective disease control strategies. Yet, little is known about the factors shaping contact networks in many wildlife species and how wildlife management actions might affect contact networks. Wild pigs in North America are an invasive, socially structured species that pose a health concern for domestic swine given their ability to transmit numerous devastating diseases such as African swine fever (ASF). Using proximity loggers and GPS data from 48 wild pigs in Florida and South Carolina, USA, we employed a probabilistic framework to estimate weighted contact networks. We determined the effects of sex, social group and spatial distribution (monthly home-range overlap and distance) on wild pig contact. We also estimated the impacts of management-induced perturbations on contact and inferred their effects on ASF establishment in wild pigs with simulation. Social group membership was the primary factor influencing contacts. Between-group contacts depended primarily on space use characteristics, with fewer contacts among groups separated by >2 km and no contacts among groups >4 km apart within a month. Modelling ASF dynamics on the contact network demonstrated that indirect contacts resulting from baiting (a typical method of attracting wild pigs or game species to a site to enhance recreational hunting) increased the risk of disease establishment by ~33% relative to direct contact. Low-intensity population reduction (<5.9% of the population) had no detectable impact on contact structure but reduced predicted ASF establishment risk relative to no population reduction. We demonstrate an approach for understanding the relative role of spatial, social and individual-level characteristics in shaping contact networks and predicting their effects on disease establishment risk, thus providing insight for optimizing disease control in spatially and socially structured wildlife species.;10.1111/1365-2656.13412;included;wild pigs;usa;probabilistic framework;optimization;risk-based monitoring;indirect contact increases disease risk;1;1;1
22448011;Giles BM;2012 May 15;A computationally optimized hemagglutinin virus-like particle vaccine elicits broadly reactive antibodies that protect nonhuman primates from H5N1 infection.;BACKGROUND: Highly pathogenic H5N1 avian influenza viruses continue to spread via waterfowl, causing lethal infections in humans. Vaccines can prevent the morbidity and mortality associated with pandemic influenza isolates. Predicting the specific isolate that may emerge from the 10 different H5N1 clades is a tremendous challenge for vaccine design. METHODS: In this study, we generated a synthetic hemagglutinin (HA) on the basis of a new method, computationally optimized broadly reactive antigen (COBRA), which uses worldwide sequencing and surveillance efforts that are specifically focused on sequences from H5N1 clade 2 human isolates. RESULTS: Cynomolgus macaques vaccinated with COBRA clade 2 HA H5N1 virus-like particles (VLPs) had hemagglutination-inhibition antibody titers that recognized a broader number of representative isolates from divergent clades as compared to nonhuman primates vaccinated with clade 2.2 HA VLPs. Furthermore, all vaccinated animals were protected from A/Whooper Swan/Mongolia/244/2005 (WS/05) clade 2.2 challenge, with no virus detected in the nasal or tracheal washes. However, COBRA VLP-vaccinated nonhuman primates had reduced lung inflammation and pathologic effects as compared to those that received WS/05 VLP vaccines. CONCLUSIONS: The COBRA clade 2 HA H5N1 VLP elicits broad humoral immunity against multiple H5N1 isolates from different clades. In addition, the COBRA VLP vaccine is more effective than a homologous vaccine against a highly pathogenic avian influenza virus challenge.;10.1093/infdis/jis232;included;nonhuman primates;usa;statistical modelling;optimization;risk-based monitoring;meets inclusion criteria;0;1;0
38629574;Hou Y;2024 Dec;Evolution of H7N9 highly pathogenic avian influenza virus in the context of vaccination.;Human infections with the H7N9 influenza virus have been eliminated in China through vaccination of poultry. however, the H7N9 virus has not yet been eradicated from poultry. Carefully analysis of H7N9 viruses in poultry that have sub-optimal immunity may provide a unique opportunity to witness the evolution of highly pathogenic avian influenza virus in the context of vaccination. Between January 2020 and June 2023, we isolated 16 H7N9 viruses from samples we collected during surveillance and samples that were sent to us for disease diagnosis. Genetic analysis indicated that these viruses belonged to a single genotype previously detected in poultry. Antigenic analysis indicated that 12 of the 16 viruses were antigenically close to the H7-Re4 vaccine virus that has been used since January 2022, and the other four viruses showed reduced reactivity with the vaccine. Animal studies indicated that all 16 viruses were nonlethal in mice, and four of six viruses showed reduced virulence in chickens upon intranasally inoculation. Importantly, the H7N9 viruses detected in this study exclusively bound to the avian-type receptors, having lost the capacity to bind to human-type receptors. Our study shows that vaccination slows the evolution of H7N9 virus by preventing its reassortment with other viruses and eliminates a harmful characteristic of H7N9 virus, namely its ability to bind to human-type receptors.;10.1080/22221751.2024.2343912;not included;birds;china;mechanistic analysis;mentioned but not applied;unknown;excluded due to not meeting modelling and optimization criteria;0;0;0
37853425;Lambert S;2023 Oct 18;A systematic review of mechanistic models used to study avian influenza virus transmission and control.;The global spread of avian influenza A viruses in domestic birds is causing increasing socioeconomic devastation. Various mechanistic models have been developed to better understand avian influenza transmission and evaluate the effectiveness of control measures in mitigating the socioeconomic losses caused by these viruses. However, the results of models of avian influenza transmission and control have not yet been subject to a comprehensive review. Such a review could help inform policy makers and guide future modeling work. To help fill this gap, we conducted a systematic review of the mechanistic models that have been applied to field outbreaks. Our three objectives were to: (1) describe the type of models and their epidemiological context, (2) list estimates of commonly used parameters of low pathogenicity and highly pathogenic avian influenza transmission, and (3) review the characteristics of avian influenza transmission and the efficacy of control strategies according to the mechanistic models. We reviewed a total of 46 articles. Of these, 26 articles estimated parameters by fitting the model to data, one evaluated the effectiveness of control strategies, and 19 did both. Values of the between-individual reproduction number ranged widely: from 2.18 to 86 for highly pathogenic avian influenza viruses, and from 4.7 to 45.9 for low pathogenicity avian influenza viruses, depending on epidemiological settings, virus subtypes and host species. Other parameters, such as the durations of the latent and infectious periods, were often taken from the literature, limiting the models' potential insights. Concerning control strategies, many models evaluated culling (n = 15), while vaccination received less attention (n = 6). According to the articles reviewed, optimal control strategies varied between virus subtypes and local conditions, and depended on the overall objective of the intervention. For instance, vaccination was optimal when the objective was to limit the overall number of culled flocks. In contrast, pre-emptive culling was preferred for reducing the size and duration of an epidemic. Early implementation consistently improved the overall efficacy of interventions, highlighting the need for effective surveillance and epidemic preparedness.;10.1186/s13567-023-01219-0;not included;birds;unknown;mechanistic models;mentioned but not applied;culling vaccination;does not meet criteria for modeling and optimization;0;0;0
39937724;Li M;2025 Dec;Insights and progress on epidemic characteristics, pathogenesis, and preventive measures of African swine fever virus: A review.;The African swine fever virus (ASFV) is the only giant double-stranded DNA virus known to be transmitted by insect vectors. It can infect pigs and cause clinical signs such as high fever, bleeding, and splenomegaly, which has been classified as a reportable disease by the WOAH. In 2018, African swine fever (ASF) was introduced into China and rapidly spread to several countries in the Asia-Pacific region, with morbidity and mortality rates reaching 100 percent, resulting in significant economic losses to the global pig industry. Because ASFV has large genomes and a complex escape host mechanism, there are currently no safe and effective drugs or vaccines against it. Therefore, it is necessary to optimize vaccination procedures and find effective treatments by studying the epidemiology of ASFV to reduce economic losses. This article reviews research progress on pathogenesis, genome, proteome and transcriptome, pathogenic mechanisms, and comprehensive control measures of ASFV infection.;10.1080/21505594.2025.2457949;not included;pigs;china;unknown;mentioned but not applied;unknown;excluded due to review format;0;0;0
32598922;Tao D;2020 Nov;One year of African swine fever outbreak in China.;African swine fever (ASF) is a major threat to domestic pigs and wild boars. Since 2018, ASF outbreaks have been ongoing in China. As of August 3, 2019, a total of 151 ASF clusters of outbreaks reported in China have caused severe economic losses for the industry, the pig farmers and pork producers, due to the lack of an efficacious vaccine. The present study aims to analyze the epidemiologic characteristics of ASF outbreak that occurred in several regions across China during the period August 2018- August 2019. Particular focus was on the epidemic distribution, main transmission routes, incidence/fatality, impact on pig production capacity, and the main preventive measures adopted to mitigate the risk of ASF spread in pig farming systems by Chinese government. Results show that anthropogenic factors, spatial distribution, efficient measures taken by China,and good response timely in implementation of preventive measures are important on the transmission of ASF and these suggest that effective ASF risk management in China will require a comprehensive and integrated approach linking science and implemented by all relevant stakeholders. This provides an empirical basis to optimize current interventions as well as develop new tools and strategies to reduce the risk transmission of African swine fever virus (ASFV) to domestic pigs and wild boars.;10.1016/j.actatropica.2020.105602;not included;pigs;wild boars;china;statistical analysis;unknown;preventive measures are not optimization methods;0;0;0
37306707;Zeng D;2023 Aug;Quickly assessing disinfection effectiveness to control the spread of African swine fever virus.;Infectious African swine fever virus (ASFV) can cause the spread and morbidity of African swine fever, while the inactivated virus cannot. When they are not distinguished separately, the detection results will lack authenticity and cause unnecessary panic and detection cost. The detection technology based on cell culture is complex, high-cost, and time-consuming in practice, which is not conducive to the rapid detection of infectious ASFV. In this study, a propidium monoazide (PMA) qPCR detection method for rapid diagnosis of infectious ASFV was constructed. Parameters of PMA concentration, light intensity, and lighting time were under strict safety verification and comparative analysis for optimization. The results determined that the optimal condition for PMA to pretreat ASFV was the final concentration of PMA 100 μM. The light intensity was 40 W, the light duration was 20 min, the target fragment size of the optimal primer probe was 484 bp, and its detection sensitivity for infectious ASFV was 10(1.28) HAD(50)/mL. In addition, the method was innovatively applied to the rapid evaluation of disinfection effect. When ASFV concentration was less than 10(2.28) HAD(50)/mL, the method could still be effective for the evaluation of thermal inactivation effect, and the evaluation ability of chlorine-containing disinfectants was better, and the applicable concentration could reach 10(5.28) HAD(50)/mL. It is worth mentioning that this method can not only reflect whether the virus is inactivated, but also indirectly reflect the degree of damage to viral nucleic acid caused by disinfectants. In conclusion, the PMA-qPCR constructed in this study can be applied to laboratory diagnosis, disinfection effect evaluation, drug development, and other aspects of infectious ASFV and can provide new technical support for effective prevention and control of ASF. KEY POINTS: • A rapid detection method for infectious ASFV was developed • Provide a new scheme for rapid evaluation of disinfection effect of chlorine-containing disinfectants • PMA-qPCR can simultaneously show the survival status of the virus and the damage of nucleic acid.;10.1007/s00253-023-12611-3;not included;african swine fever virus;unknown;pcr;mentioned but not applied;unknown;does not focus on disease surveillance strategies;0;0;0
